cat,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,dist11,Pred:cat
1,135.7002032,191.3789222,224.8720864,183.9812555,145.7001836,170.04953,138.1277171,164.8979581,134.3381499,166.4684647,141.9263577,
1,89.98904346,130.5129871,162.9262285,125.0950768,117.2051192,90.75849415,76.36648096,80.089049,65.89301969,87.43585285,74.68689544,
1,101.3120013,135.9487061,154.0884053,119.1061476,98.81806685,96.65897412,78.26785876,91.16709904,73.13300365,99.8465703,82.8209612,
1,94.40573326,134.9384328,168.7930112,120.2612462,108.6564463,91.60811036,79.73723211,77.309579,65.11253218,81.92370186,76.81557283,
1,133.2077213,197.7218813,255.0138947,141.1665745,122.7893456,106.7319626,91.4527671,97.02529691,78.93620944,111.3046427,91.16357408,
1,94.72506516,137.3673248,176.0618341,106.5614642,92.89915935,86.83650897,73.1155044,78.8099818,63.83131811,81.52177329,66.97304611,
1,91.5022155,129.628563,160.1773917,93.72367893,84.2648619,76.94952582,75.98510812,69.87153127,68.02815841,74.1104974,69.43614155,
1,110.3237003,153.8940321,185.46666,118.3270248,96.7719186,93.59375543,77.63574592,86.53745728,68.62819131,99.12974073,82.5528086,
1,103.8907799,153.8596255,187.5649876,113.1181475,91.25431803,89.79671259,71.18279131,88.4422878,67.0066264,102.5476474,82.07949486,
1,74.83307193,108.6286743,136.6987484,81.57820142,71.0500839,66.26468372,53.56129353,65.6583252,52.5699649,79.08631414,66.61864905,
1,72.12350193,103.9987324,135.544207,80.30841542,68.4837856,68.67399924,55.46947749,64.00267829,49.36353539,70.6945179,58.02349194,
1,57.27511914,84.547573,109.516516,61.92878475,51.29388182,47.60275781,40.70034328,42.70792806,33.97348751,49.73685614,41.38450144,
1,84.88130034,123.3717055,159.2712102,77.59437315,69.59690957,57.07830954,62.1932078,50.07055409,56.21698471,49.51030661,51.73593175,
1,65.13625657,92.49220613,115.5005689,77.83297625,64.74720994,60.82468488,48.51544318,51.70921703,39.15978001,52.59424433,41.88531012,
1,111.4300612,156.7836135,196.5173894,124.9199998,110.8448257,97.71503324,91.0823074,82.79542146,77.73461428,80.93205626,74.02712861,
1,44.53559659,67.23558597,91.19839363,27.89563385,26.62349843,17.10777358,19.66934759,16.55657453,15.5682539,25.91350461,22.61496132,
1,67.74783473,98.10554921,125.0955496,77.97794378,68.06767557,59.52017203,51.00534631,52.63367511,43.96362151,56.38981678,49.40551341,
1,60.60946029,88.18580213,114.3333737,56.4393667,49.10028557,39.60105694,38.35836141,29.84631647,29.5732596,30.42345126,28.38058522,
1,71.69622589,101.5047971,128.8298172,82.29881704,73.0300113,63.41988857,58.84124606,53.13218341,47.54282638,56.31533641,49.97298043,
1,57.7526695,80.80554186,99.63140071,68.30542342,58.2956358,54.15372763,43.12455139,47.16363301,36.06064366,48.9323638,39.51966178,
2,85.21230427,117.6550978,142.699301,103.8171309,100.2350894,97.26159413,91.47652603,99.58291932,91.09836904,107.6078684,99.12014078,
2,92.56131167,128.5229512,157.4558945,117.8763563,113.1463446,109.645212,102.6597345,109.2744728,99.42387137,118.1098992,110.3570921,
2,75.96723744,104.6843258,127.3030254,97.93065773,92.49942242,95.89647925,87.69252618,95.27354835,85.06265121,94.43030412,82.27773956,
2,70.99539524,98.7903911,121.6800302,95.12654167,88.09017727,93.26817954,85.81676238,93.12654064,84.37458873,93.20311187,84.6181869,
2,69.2573036,98.49434072,120.0099763,81.13162972,69.76502595,68.78053859,58.77959519,65.65499021,53.20347041,92.43258204,95.79945308,
2,80.40819672,109.9772994,131.6379786,102.3029928,93.73004161,93.6269251,87.31294997,87.48816016,78.42063637,80.58370337,70.84799518,
2,69.17228491,93.29119513,110.7153168,97.62161565,90.47645847,95.60588382,87.31508241,94.14874751,83.33896926,92.37399865,80.18746324,
2,71.99115174,100.4031277,122.3076419,97.62311782,91.40303007,95.0318582,87.2048704,95.06468147,85.61967441,93.07175186,82.49647295,
